source_file,animal_id,event_id,event_type,hole_index_1based,start_s,end_s,duration_s,confidence,source,evidence
test50.mp4,,evt_738d6546-ffc3-4dba-8d08-42db97550917,hole-investigation,7,15.467,15.800,0.333,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_991c58c6-593a-44fc-b9ca-a9cebf48a8ec,hole-investigation,9,26.667,27.667,1.000,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_f90d8722-6736-4a78-b30e-418c43b465c2,hole-investigation,10,31.333,33.067,1.733,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_7e41e82a-0602-4d0d-8219-cb8c6c449965,hole-investigation,12,35.200,36.933,1.733,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_34af9827-6c6c-4124-93ce-bee22a387e30,hole-investigation,7,44.600,49.000,4.400,0.850,automatic,high-confidence head entered region; body position used as investigation probe
test50.mp4,,evt_a170de3a-c514-4123-9ceb-cfa751f2c406,hole-investigation,8,51.533,51.733,0.200,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_e6ad948d-9aae-4095-aabf-27545d0ecc35,hole-investigation,10,57.933,59.400,1.467,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_d36ee210-a397-4ede-a22e-7702daf657a5,hole-investigation,11,60.267,60.533,0.267,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_e392edca-e8b4-4e77-bf14-fc153686e60f,hole-investigation,12,61.600,61.933,0.333,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_cf5f1106-9a80-454b-ac7e-b42a54b5f1cc,hole-investigation,14,67.400,67.800,0.400,0.850,automatic,high-confidence head entered region; body/contour evidence only; head orientation uncertain
test50.mp4,,evt_67458ee5-9fe6-42c1-b59c-d180ae22a845,hole-investigation,15,68.333,69.133,0.800,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_ecc492ac-c79b-40a0-b88d-a2e8134bb9ea,hole-investigation,17,78.667,78.933,0.267,0.850,automatic,high-confidence head entered region
test50.mp4,,evt_7071475c-124f-49dd-a0e4-07e27f783e9e,hole-investigation,20,86.267,86.467,0.200,0.850,automatic,high-confidence head entered region
test50.mp4,,evt_a9c86c41-c034-4d22-bea7-d4734188b64a,hole-investigation,5,92.867,93.133,0.267,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_065bccf9-4ef2-4e83-b76f-c3d118c14a89,target-investigation,6,93.800,94.333,0.533,0.440,automatic,body position used as investigation probe; first valid investigation of the target hole
test50.mp4,,evt_267cb421-a4c3-4671-a7f1-95789dfe5b6d,hole-investigation,8,101.400,104.067,2.667,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_5b634e40-ee99-4a88-8f9f-878a8d7462f6,hole-investigation,8,104.933,107.533,2.600,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_01f5a212-0e21-4202-b0fb-ceccd7bbe02a,hole-investigation,10,111.600,111.867,0.267,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_45b97644-e38d-4f87-b30b-a2d57501ba92,hole-investigation,11,112.800,114.667,1.867,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_0652f420-0143-4b01-aecf-a43693b672f0,hole-investigation,14,117.067,117.467,0.400,0.850,automatic,high-confidence head entered region; body/contour evidence only; head orientation uncertain
test50.mp4,,evt_57e3f5ff-c7b8-4211-a637-a3e362448102,hole-investigation,16,120.267,120.467,0.200,0.850,automatic,high-confidence head entered region
test50.mp4,,evt_c75f6b80-d4b2-4ab2-b5ee-671fb95dcc2e,hole-investigation,1,124.333,124.533,0.200,0.850,automatic,high-confidence head entered region
test50.mp4,,evt_29057997-0043-4ac5-a311-553b45f4c6aa,hole-investigation,5,132.067,132.267,0.200,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_0550c807-9d7e-4f27-83a4-bdb6554cdda7,target-investigation,6,133.400,133.667,0.267,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_652d4277-f441-46e4-845c-62dfa85ef22d,hole-investigation,7,136.200,136.733,0.533,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_1cc59612-7223-4fdb-9bb2-96683ab67a3e,hole-investigation,9,140.133,140.333,0.200,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_7f2b64b8-0b15-4ae8-8a81-b89436eb3921,hole-investigation,10,142.000,142.333,0.333,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_6cdce149-bb49-4413-a273-77b398eadf66,hole-investigation,11,143.067,143.333,0.267,0.440,automatic,body position used as investigation probe
test50.mp4,,evt_f6e8cd1a-67ca-43d4-8075-5af6328bbba8,hole-investigation,14,147.800,148.667,0.867,0.850,automatic,high-confidence head entered region; body/contour evidence only; head orientation uncertain
test50.mp4,,evt_a7f75ce3-6a14-4b2d-bea9-2f42d5310020,hole-investigation,17,151.933,152.200,0.267,0.850,automatic,high-confidence head entered region
test50.mp4,,evt_08b8092e-eb9c-46d6-bad5-608556652a8d,target-investigation,6,168.800,184.600,15.800,0.440,automatic,body position used as investigation probe
test51.mp4,,evt_88dba55c-8f06-402d-934e-90fc6f96b902,hole-investigation,13,6.006,6.206,0.200,0.850,automatic,high-confidence head entered region
test51.mp4,,evt_0f6b805f-6dcf-4726-bf3f-ad5a28adb399,hole-investigation,13,6.340,6.673,0.334,0.850,automatic,high-confidence head entered region
test51.mp4,,evt_197d2691-0a4d-4565-a085-0ec7b8942540,hole-investigation,14,8.876,9.543,0.667,0.850,automatic,high-confidence head entered region
test51.mp4,,evt_0fcc9d8d-f3f8-4b99-8a66-4881b924694c,hole-investigation,14,10.277,10.477,0.200,0.799,automatic,high-confidence head entered region
test51.mp4,,evt_f4106428-d98b-481c-a5b6-5c7282521e0d,hole-investigation,13,13.080,23.090,10.010,0.440,automatic,body position used as investigation probe
test51.mp4,,evt_27e01f3b-0a3a-4716-8801-cc3dfcb10209,hole-investigation,12,24.157,25.025,0.868,0.850,automatic,high-confidence head entered region; body/contour evidence only; head orientation uncertain
test51.mp4,,evt_15485789-8545-48ca-852c-1382692138de,hole-investigation,12,25.158,25.692,0.534,0.850,automatic,high-confidence head entered region; body/contour evidence only; head orientation uncertain
test51.mp4,,evt_f5c63ad5-680b-4664-9876-88cfa7ae78a7,hole-investigation,19,33.233,33.500,0.267,0.850,automatic,high-confidence head entered region
test51.mp4,,evt_02755f26-8c61-403b-b20e-48d287ea460b,hole-investigation,19,34.635,35.035,0.400,0.850,automatic,high-confidence head entered region
test51.mp4,,evt_43fc3431-975e-4e06-a4af-3fdabe8dec89,target-investigation,20,35.969,36.570,0.601,0.850,automatic,high-confidence head entered region; first valid investigation of the target hole
test51.mp4,,evt_0043d347-f1dc-4349-b038-1e7bafde63a7,target-investigation,20,42.643,45.445,2.803,0.738,automatic,high-confidence head entered region; body position used as investigation probe
test51.mp4,,evt_f02bc62f-5cd0-438c-a655-fc15852b0f67,target-investigation,20,46.513,49.383,2.870,0.700,automatic,body position used as investigation probe; body/contour evidence only; head orientation uncertain; high-confidence head entered region
test53.mp4,,evt_09e9fd18-4dec-4305-be22-1651c32d88ef,hole-investigation,2,5.467,8.933,3.467,0.440,automatic,body position used as investigation probe
test53.mp4,,evt_57e60d87-a026-4a2c-afe4-a18e02a7c777,hole-investigation,4,23.000,24.400,1.400,0.440,automatic,body position used as investigation probe
test53.mp4,,evt_11ea3792-5bc8-4954-9a20-ca015dba414d,target-investigation,3,24.867,30.133,5.267,0.440,automatic,body position used as investigation probe; first valid investigation of the target hole
